case_index	table_id	hypothesis	label
3-16	T74	Katharine McPhee has been with five labels.	E
3-17	T74	Katharine McPhee has been with six labels.	C
3-18	T74	Katharine McPhee has been with at least four labels.	E
3-19	T74	Katharine McPhee has been with at least five labels.	E
3-20	T74	Katharine McPhee has been with at least six labels.	C
3-24	T74	Katharine McPhee has been with no less than four labels.	E
3-25	T74	Katharine McPhee has been with no less than five labels.	E
3-26	T74	Katharine McPhee has been with no less than six labels.	C
3-27	T74	Katharine McPhee has been with more than four labels.	E
3-28	T74	Katharine McPhee has been with more than five labels.	C
3-29	T74	Katharine McPhee has been with more than six labels.	C
4-0	T154	Charlie Sheen has divorced less than twice.	C
4-1	T154	Charlie Sheen has divorced less than three times.	C
4-2	T154	Charlie Sheen has divorced less than four times.	E
4-9	T154	Charlie Sheen has divorced no more than twice.	C
4-10	T154	Charlie Sheen has divorced no more than three times.	E
4-11	T154	Charlie Sheen has divorced no more than four times.	E
4-12	T154	Charlie Sheen has divorced exactly twice.	C
4-13	T154	Charlie Sheen has divorced exactly three times.	E
4-14	T154	Charlie Sheen has divorced exactly four times.	C
4-15	T154	Charlie Sheen has divorced twice.	E
4-16	T154	Charlie Sheen has divorced three times.	E
4-17	T154	Charlie Sheen has divorced four times.	C
4-18	T154	Charlie Sheen has divorced at least twice.	E
4-19	T154	Charlie Sheen has divorced at least three times.	E
4-20	T154	Charlie Sheen has divorced at least four times.	C
4-24	T154	Charlie Sheen has divorced no less than twice.	E
4-25	T154	Charlie Sheen has divorced no less than three times.	E
4-26	T154	Charlie Sheen has divorced no less than four times.	C
4-27	T154	Charlie Sheen has divorced more than twice.	E
4-28	T154	Charlie Sheen has divorced more than three times.	C
4-29	T154	Charlie Sheen has divorced more than four times.	C
5-1	T277	Charo has been married less than twice.	C
5-2	T277	Charo has been married less than three times.	E
5-9	T277	Charo has been married no more than once.	C
5-10	T277	Charo has been married no more than twice.	E
5-11	T277	Charo has been married no more than three times.	E
5-12	T277	Charo has been married exactly once.	C
5-13	T277	Charo has been married exactly twice.	E
5-14	T277	Charo has been married exactly three times.	C
5-15	T277	Charo has been married once.	E
5-16	T277	Charo has been married twice.	E
5-17	T277	Charo has been married three times.	C
5-18	T277	Charo has been married at least once.	E
5-19	T277	Charo has been married at least twice.	E
5-20	T277	Charo has been married at least three times.	C
5-24	T277	Charo has been married no less than once.	E
5-25	T277	Charo has been married no less than twice.	E
5-26	T277	Charo has been married no less than three times.	C
5-27	T277	Charo has been married more than once.	E
5-28	T277	Charo has been married more than twice.	C
5-29	T277	Charo has been married more than three times.	C
6-0	T310	The town of Christchurch has less than 15 wards.	C
6-1	T310	The town of Christchurch has less than 16 wards.	C
6-2	T310	The town of Christchurch has less than 17 wards.	E
6-9	T310	The town of Christchurch has no more than 15 wards.	C
6-10	T310	The town of Christchurch has no more than 16 wards.	E
6-11	T310	The town of Christchurch has no more than 17 wards.	E
6-12	T310	The town of Christchurch has exactly 15 wards.	C
6-13	T310	The town of Christchurch has exactly 16 wards.	E
6-14	T310	The town of Christchurch has exactly 17 wards.	C
6-15	T310	The town of Christchurch has 15 wards.	E
6-16	T310	The town of Christchurch has 16 wards.	E
6-17	T310	The town of Christchurch has 17 wards.	C
6-18	T310	The town of Christchurch has at least 15 wards.	E
6-19	T310	The town of Christchurch has at least 16 wards.	E
6-20	T310	The town of Christchurch has at least 17 wards.	C
6-24	T310	The town of Christchurch has no less than 15 wards.	E
6-25	T310	The town of Christchurch has no less than 16 wards.	E
6-26	T310	The town of Christchurch has no less than 17 wards.	C
6-27	T310	The town of Christchurch has more than 15 wards.	E
6-28	T310	The town of Christchurch has more than 16 wards.	C
6-29	T310	The town of Christchurch has more than 17 wards.	C
8-1	T416	Johnny Depp has been married less than twice.	C
8-2	T416	Johnny Depp has been married less than three times.	E
8-9	T416	Johnny Depp has been married no more than once.	C
8-10	T416	Johnny Depp has been married no more than twice.	E
8-11	T416	Johnny Depp has been married no more than three times.	E
8-12	T416	Johnny Depp has been married exactly once.	C
8-13	T416	Johnny Depp has been married exactly twice.	E
8-14	T416	Johnny Depp has been married exactly three times.	C
8-15	T416	Johnny Depp has been married once.	E
8-16	T416	Johnny Depp has been married twice.	E
8-17	T416	Johnny Depp has been married three times.	C
8-18	T416	Johnny Depp has been married at least once.	E
8-19	T416	Johnny Depp has been married at least twice.	E
8-20	T416	Johnny Depp has been married at least three times.	C
8-24	T416	Johnny Depp has been married no less than once.	E
8-25	T416	Johnny Depp has been married no less than twice.	E
8-26	T416	Johnny Depp has been married no less than three times.	C
8-27	T416	Johnny Depp has been married more than once.	E
8-28	T416	Johnny Depp has been married more than twice.	C
8-29	T416	Johnny Depp has been married more than three times.	C
9-0	T416	Johnny Depp has had less than two wives.	C
9-1	T416	Johnny Depp has had less than three wives.	E
9-8	T416	Johnny Depp has had no more than one wife.	C
9-9	T416	Johnny Depp has had no more than two wives.	E
9-10	T416	Johnny Depp has had no more than three wives.	E
9-11	T416	Johnny Depp has had exactly one wife.	C
9-12	T416	Johnny Depp has had exactly two wives.	E
9-13	T416	Johnny Depp has had exactly three wives.	C
9-14	T416	Johnny Depp has had one wife.	E
9-15	T416	Johnny Depp has had two wives.	E
9-16	T416	Johnny Depp has had three wives.	C
9-17	T416	Johnny Depp has had at least one wife.	E
9-18	T416	Johnny Depp has had at least two wives.	E
9-19	T416	Johnny Depp has had at least three wives.	C
9-23	T416	Johnny Depp has had no less than one wife.	E
9-24	T416	Johnny Depp has had no less than two wives.	E
9-25	T416	Johnny Depp has had no less than three wives.	C
9-26	T416	Johnny Depp has had more than one wife.	E
9-27	T416	Johnny Depp has had more than two wives.	C
9-28	T416	Johnny Depp has had more than three wives.	C
10-0	T435	The band formerly known as Inearthed has been on less than two labels.	C
10-1	T435	The band formerly known as Inearthed has been on less than three labels.	C
10-2	T435	The band formerly known as Inearthed has been on less than four labels.	E
10-9	T435	The band formerly known as Inearthed has been on no more than two labels.	C
10-10	T435	The band formerly known as Inearthed has been on no more than three labels.	E
10-11	T435	The band formerly known as Inearthed has been on no more than four labels.	E
10-12	T435	The band formerly known as Inearthed has been on exactly two labels.	C
10-13	T435	The band formerly known as Inearthed has been on exactly three labels.	E
10-14	T435	The band formerly known as Inearthed has been on exactly four labels.	C
10-15	T435	The band formerly known as Inearthed has been on two labels.	E
10-16	T435	The band formerly known as Inearthed has been on three labels.	E
10-17	T435	The band formerly known as Inearthed has been on four labels.	C
10-18	T435	The band formerly known as Inearthed has been on at least two labels.	E
10-19	T435	The band formerly known as Inearthed has been on at least three labels.	E
10-20	T435	The band formerly known as Inearthed has been on at least four labels.	C
10-24	T435	The band formerly known as Inearthed has been on no less than two labels.	E
10-25	T435	The band formerly known as Inearthed has been on no less than three labels.	E
10-26	T435	The band formerly known as Inearthed has been on no less than four labels.	C
10-27	T435	The band formerly known as Inearthed has been on more than two labels.	E
10-28	T435	The band formerly known as Inearthed has been on more than three labels.	C
10-29	T435	The band formerly known as Inearthed has been on more than four labels.	C
11-0	T447	China has had less than two periods.	C
11-1	T447	China has had less than three periods.	E
11-8	T447	China has had no more than one period.	C
11-9	T447	China has had no more than two periods.	E
11-10	T447	China has had no more than three periods.	E
11-11	T447	China has had exactly one period.	C
11-12	T447	China has had exactly two periods.	E
11-13	T447	China has had exactly three periods.	C
11-14	T447	China has had one period.	E
11-15	T447	China has had two periods.	E
11-16	T447	China has had three periods.	C
11-17	T447	China has had at least one period.	E
11-18	T447	China has had at least two periods.	E
11-19	T447	China has had at least three periods.	C
11-23	T447	China has had no less than one period.	E
11-24	T447	China has had no less than two periods.	E
11-25	T447	China has had no less than three periods.	C
11-26	T447	China has had more than one period.	E
11-27	T447	China has had more than two periods.	C
11-28	T447	China has had more than three periods.	C
12-0	T534	CÎROC is sold in less than 12 flavors.	C
12-1	T534	CÎROC is sold in less than 13 flavors.	C
12-2	T534	CÎROC is sold in less than 14 flavors.	E
12-9	T534	CÎROC is sold in no more than 12 flavors.	C
12-10	T534	CÎROC is sold in no more than 13 flavors.	E
12-11	T534	CÎROC is sold in no more than 14 flavors.	E
12-12	T534	CÎROC is sold in exactly 12 flavors.	C
12-13	T534	CÎROC is sold in exactly 13 flavors.	E
12-14	T534	CÎROC is sold in exactly 14 flavors.	C
12-15	T534	CÎROC is sold in 12 flavors.	E
12-16	T534	CÎROC is sold in 13 flavors.	E
12-17	T534	CÎROC is sold in 14 flavors.	C
12-18	T534	CÎROC is sold in at least 12 flavors.	E
12-19	T534	CÎROC is sold in at least 13 flavors.	E
12-20	T534	CÎROC is sold in at least 14 flavors.	C
12-24	T534	CÎROC is sold in no less than 12 flavors.	E
12-25	T534	CÎROC is sold in no less than 13 flavors.	E
12-26	T534	CÎROC is sold in no less than 14 flavors.	C
12-27	T534	CÎROC is sold in more than 12 flavors.	E
12-28	T534	CÎROC is sold in more than 13 flavors.	C
12-29	T534	CÎROC is sold in more than 14 flavors.	C
13-0	T680	CKY has worked with less than seven labels.	C
13-1	T680	CKY has worked with less than eight labels.	C
13-2	T680	CKY has worked with less than nine labels.	E
13-9	T680	CKY has worked with no more than seven labels.	C
13-10	T680	CKY has worked with no more than eight labels.	E
13-11	T680	CKY has worked with no more than nine labels.	E
13-12	T680	CKY has worked with exactly seven labels.	C
13-13	T680	CKY has worked with exactly eight labels.	E
13-14	T680	CKY has worked with exactly nine labels.	C
13-15	T680	CKY has worked with seven labels.	E
13-16	T680	CKY has worked with eight labels.	E
13-17	T680	CKY has worked with nine labels.	C
13-18	T680	CKY has worked with at least seven labels.	E
13-19	T680	CKY has worked with at least eight labels.	E
13-20	T680	CKY has worked with at least nine labels.	C
13-24	T680	CKY has worked with no less than seven labels.	E
13-25	T680	CKY has worked with no less than eight labels.	E
13-26	T680	CKY has worked with no less than nine labels.	C
13-27	T680	CKY has worked with more than seven labels.	E
13-28	T680	CKY has worked with more than eight labels.	C
13-29	T680	CKY has worked with more than nine labels.	C
14-0	T702	The City of London has less than 24 wards.	C
14-1	T702	The City of London has less than 25 wards.	C
14-2	T702	The City of London has less than 26 wards.	E
14-9	T702	The City of London has no more than 24 wards.	C
14-10	T702	The City of London has no more than 25 wards.	E
14-11	T702	The City of London has no more than 26 wards.	E
14-12	T702	The City of London has exactly 24 wards.	C
14-13	T702	The City of London has exactly 25 wards.	E
14-14	T702	The City of London has exactly 26 wards.	C
14-15	T702	The City of London has 24 wards.	E
14-16	T702	The City of London has 25 wards.	E
14-17	T702	The City of London has 26 wards.	C
14-18	T702	The City of London has at least 24 wards.	E
14-19	T702	The City of London has at least 25 wards.	E
14-20	T702	The City of London has at least 26 wards.	C
14-24	T702	The City of London has no less than 24 wards.	E
14-25	T702	The City of London has no less than 25 wards.	E
14-26	T702	The City of London has no less than 26 wards.	C
14-27	T702	The City of London has more than 24 wards.	E
14-28	T702	The City of London has more than 25 wards.	C
14-29	T702	The City of London has more than 26 wards.	C
15-0	T734	David Cook has less than two family members.	C
15-1	T734	David Cook has less than three family members.	E
15-8	T734	David Cook has no more than one family member.	C
15-9	T734	David Cook has no more than two family members.	E
15-10	T734	David Cook has no more than three family members.	E
15-11	T734	David Cook has exactly one family member.	C
15-12	T734	David Cook has exactly two family members.	E
15-13	T734	David Cook has exactly three family members.	C
15-14	T734	David Cook has one family member.	E
15-15	T734	David Cook has two family members.	E
15-16	T734	David Cook has three family members.	C
15-17	T734	David Cook has at least one family member.	E
15-18	T734	David Cook has at least two family members.	E
15-19	T734	David Cook has at least three family members.	C
15-23	T734	David Cook has no less than one family member.	E
15-24	T734	David Cook has no less than two family members.	E
15-25	T734	David Cook has no less than three family members.	C
15-26	T734	David Cook has more than one family member.	E
15-27	T734	David Cook has more than two family members.	C
15-28	T734	David Cook has more than three family members.	C
16-0	T734	David Cook has less than two children.	E
16-5	T734	David Cook has no more than one child.	E
16-6	T734	David Cook has no more than two children.	E
16-7	T734	David Cook has exactly one child.	E
16-8	T734	David Cook has exactly two children.	C
16-9	T734	David Cook has one child.	E
16-10	T734	David Cook has two children.	C
16-11	T734	David Cook has at least one child.	E
16-12	T734	David Cook has at least two children.	C
16-15	T734	David Cook has no less than one child.	E
16-16	T734	David Cook has no less than two children.	C
16-17	T734	David Cook has more than one child.	C
16-18	T734	David Cook has more than two children.	C
17-0	T787	The Republic of Cuba has less than two languages.	E
17-5	T787	The Republic of Cuba has no more than one language.	E
17-6	T787	The Republic of Cuba has no more than two languages.	E
17-7	T787	The Republic of Cuba has exactly one language.	E
17-8	T787	The Republic of Cuba has exactly two languages.	C
17-9	T787	The Republic of Cuba has one language.	E
17-10	T787	The Republic of Cuba has two languages.	C
17-11	T787	The Republic of Cuba has at least one language.	E
17-12	T787	The Republic of Cuba has at least two languages.	C
17-15	T787	The Republic of Cuba has no less than one language.	E
17-16	T787	The Republic of Cuba has no less than two languages.	C
17-17	T787	The Republic of Cuba has more than one language.	C
17-18	T787	The Republic of Cuba has more than two languages.	C
18-0	T845	Dean Kamen has won less than six awards.	C
18-1	T845	Dean Kamen has won less than seven awards.	C
18-2	T845	Dean Kamen has won less than eight awards.	E
18-9	T845	Dean Kamen has won no more than six awards.	C
18-10	T845	Dean Kamen has won no more than seven awards.	E
18-11	T845	Dean Kamen has won no more than eight awards.	E
18-12	T845	Dean Kamen has won exactly six awards.	C
18-13	T845	Dean Kamen has won exactly seven awards.	E
18-14	T845	Dean Kamen has won exactly eight awards.	C
18-15	T845	Dean Kamen has won six awards.	E
18-16	T845	Dean Kamen has won seven awards.	E
18-17	T845	Dean Kamen has won eight awards.	C
18-18	T845	Dean Kamen has won at least six awards.	E
18-19	T845	Dean Kamen has won at least seven awards.	E
18-20	T845	Dean Kamen has won at least eight awards.	C
18-24	T845	Dean Kamen has won no less than six awards.	E
18-25	T845	Dean Kamen has won no less than seven awards.	E
18-26	T845	Dean Kamen has won no less than eight awards.	C
18-27	T845	Dean Kamen has won more than six awards.	E
18-28	T845	Dean Kamen has won more than seven awards.	C
18-29	T845	Dean Kamen has won more than eight awards.	C
19-0	T910	Catania has less than two websites.	E
19-5	T910	Catania has no more than one website.	E
19-6	T910	Catania has no more than two websites.	E
19-7	T910	Catania has exactly one website.	E
19-8	T910	Catania has exactly two websites.	C
19-9	T910	Catania has one website.	E
19-10	T910	Catania has two websites.	C
19-11	T910	Catania has at least one website.	E
19-12	T910	Catania has at least two websites.	C
19-15	T910	Catania has no less than one website.	E
19-16	T910	Catania has no less than two websites.	C
19-17	T910	Catania has more than one website.	C
19-18	T910	Catania has more than two websites.	C
20-0	T928	Charlie and the Chocolate Factory was released in less than two countries.	C
20-1	T928	Charlie and the Chocolate Factory was released in less than three countries.	C
20-2	T928	Charlie and the Chocolate Factory was released in less than four countries.	E
20-9	T928	Charlie and the Chocolate Factory was released in no more than two countries.	C
20-10	T928	Charlie and the Chocolate Factory was released in no more than three countries.	E
20-11	T928	Charlie and the Chocolate Factory was released in no more than four countries.	E
20-12	T928	Charlie and the Chocolate Factory was released in exactly two countries.	C
20-13	T928	Charlie and the Chocolate Factory was released in exactly three countries.	E
20-14	T928	Charlie and the Chocolate Factory was released in exactly four countries.	C
20-15	T928	Charlie and the Chocolate Factory was released in two countries.	E
20-16	T928	Charlie and the Chocolate Factory was released in three countries.	E
20-17	T928	Charlie and the Chocolate Factory was released in four countries.	C
20-18	T928	Charlie and the Chocolate Factory was released in at least two countries.	E
20-19	T928	Charlie and the Chocolate Factory was released in at least three countries.	E
20-20	T928	Charlie and the Chocolate Factory was released in at least four countries.	C
20-24	T928	Charlie and the Chocolate Factory was released in no less than two countries.	E
20-25	T928	Charlie and the Chocolate Factory was released in no less than three countries.	E
20-26	T928	Charlie and the Chocolate Factory was released in no less than four countries.	C
20-27	T928	Charlie and the Chocolate Factory was released in more than two countries.	E
20-28	T928	Charlie and the Chocolate Factory was released in more than three countries.	C
20-29	T928	Charlie and the Chocolate Factory was released in more than four countries.	C
21-1	T983	Camilla Rosemary Shand has been married less than twice.	C
21-2	T983	Camilla Rosemary Shand has been married less than three times.	E
21-9	T983	Camilla Rosemary Shand has been married no more than once.	C
21-10	T983	Camilla Rosemary Shand has been married no more than twice.	E
21-11	T983	Camilla Rosemary Shand has been married no more than three times.	E
21-12	T983	Camilla Rosemary Shand has been married exactly once.	C
21-13	T983	Camilla Rosemary Shand has been married exactly twice.	E
21-14	T983	Camilla Rosemary Shand has been married exactly three times.	C
21-15	T983	Camilla Rosemary Shand has been married once.	E
21-16	T983	Camilla Rosemary Shand has been married twice.	E
21-17	T983	Camilla Rosemary Shand has been married three times.	C
21-18	T983	Camilla Rosemary Shand has been married at least once.	E
21-19	T983	Camilla Rosemary Shand has been married at least twice.	E
21-20	T983	Camilla Rosemary Shand has been married at least three times.	C
21-24	T983	Camilla Rosemary Shand has been married no less than once.	E
21-25	T983	Camilla Rosemary Shand has been married no less than twice.	E
21-26	T983	Camilla Rosemary Shand has been married no less than three times.	C
21-27	T983	Camilla Rosemary Shand has been married more than once.	E
21-28	T983	Camilla Rosemary Shand has been married more than twice.	C
21-29	T983	Camilla Rosemary Shand has been married more than three times.	C
22-0	T1212	Glacier National Park is in less than two counties.	C
22-1	T1212	Glacier National Park is in less than three counties.	E
22-8	T1212	Glacier National Park is in no more than one county.	C
22-9	T1212	Glacier National Park is in no more than two counties.	E
22-10	T1212	Glacier National Park is in no more than three counties.	E
22-11	T1212	Glacier National Park is in exactly one county.	C
22-12	T1212	Glacier National Park is in exactly two counties.	E
22-13	T1212	Glacier National Park is in exactly three counties.	C
22-14	T1212	Glacier National Park is in one county.	E
22-15	T1212	Glacier National Park is in two counties.	E
22-16	T1212	Glacier National Park is in three counties.	C
22-17	T1212	Glacier National Park is in at least one county.	E
22-18	T1212	Glacier National Park is in at least two counties.	E
22-19	T1212	Glacier National Park is in at least three counties.	C
22-23	T1212	Glacier National Park is in no less than one county.	E
22-24	T1212	Glacier National Park is in no less than two counties.	E
22-25	T1212	Glacier National Park is in no less than three counties.	C
22-26	T1212	Glacier National Park is in more than one county.	E
22-27	T1212	Glacier National Park is in more than two counties.	C
22-28	T1212	Glacier National Park is in more than three counties.	C
23-0	T1406	Kazakh Khanate has had less than five capitals.	C
23-1	T1406	Kazakh Khanate has had less than six capitals.	C
23-2	T1406	Kazakh Khanate has had less than seven capitals.	E
23-9	T1406	Kazakh Khanate has had no more than five capitals.	C
23-10	T1406	Kazakh Khanate has had no more than six capitals.	E
23-11	T1406	Kazakh Khanate has had no more than seven capitals.	E
23-12	T1406	Kazakh Khanate has had exactly five capitals.	C
23-13	T1406	Kazakh Khanate has had exactly six capitals.	E
23-14	T1406	Kazakh Khanate has had exactly seven capitals.	C
23-15	T1406	Kazakh Khanate has had five capitals.	E
23-16	T1406	Kazakh Khanate has had six capitals.	E
23-17	T1406	Kazakh Khanate has had seven capitals.	C
23-18	T1406	Kazakh Khanate has had at least five capitals.	E
23-19	T1406	Kazakh Khanate has had at least six capitals.	E
23-20	T1406	Kazakh Khanate has had at least seven capitals.	C
23-24	T1406	Kazakh Khanate has had no less than five capitals.	E
23-25	T1406	Kazakh Khanate has had no less than six capitals.	E
23-26	T1406	Kazakh Khanate has had no less than seven capitals.	C
23-27	T1406	Kazakh Khanate has had more than five capitals.	E
23-28	T1406	Kazakh Khanate has had more than six capitals.	C
23-29	T1406	Kazakh Khanate has had more than seven capitals.	C
24-0	T1443	Karachi has less than five districts.	C
24-1	T1443	Karachi has less than six districts.	C
24-2	T1443	Karachi has less than seven districts.	E
24-9	T1443	Karachi has no more than five districts.	C
24-10	T1443	Karachi has no more than six districts.	E
24-11	T1443	Karachi has no more than seven districts.	E
24-12	T1443	Karachi has exactly five districts.	C
24-13	T1443	Karachi has exactly six districts.	E
24-14	T1443	Karachi has exactly seven districts.	C
24-15	T1443	Karachi has five districts.	E
24-16	T1443	Karachi has six districts.	E
24-17	T1443	Karachi has seven districts.	C
24-18	T1443	Karachi has at least five districts.	E
24-19	T1443	Karachi has at least six districts.	E
24-20	T1443	Karachi has at least seven districts.	C
24-24	T1443	Karachi has no less than five districts.	E
24-25	T1443	Karachi has no less than six districts.	E
24-26	T1443	Karachi has no less than seven districts.	C
24-27	T1443	Karachi has more than five districts.	E
24-28	T1443	Karachi has more than six districts.	C
24-29	T1443	Karachi has more than seven districts.	C
25-1	T1457	Jimmy Fallon has been married less than twice.	E
25-6	T1457	Jimmy Fallon has been married no more than once.	E
25-7	T1457	Jimmy Fallon has been married no more than twice.	E
25-8	T1457	Jimmy Fallon has been married exactly once.	E
25-9	T1457	Jimmy Fallon has been married exactly twice.	C
25-10	T1457	Jimmy Fallon has been married once.	E
25-11	T1457	Jimmy Fallon has been married twice.	C
25-12	T1457	Jimmy Fallon has been married at least once.	E
25-13	T1457	Jimmy Fallon has been married at least twice.	C
25-16	T1457	Jimmy Fallon has been married no less than once.	E
25-17	T1457	Jimmy Fallon has been married no less than twice.	C
25-18	T1457	Jimmy Fallon has been married more than once.	C
25-19	T1457	Jimmy Fallon has been married more than twice.	C
26-0	T1502	Karl Ferdinand Braun attended less than two universities.	C
26-1	T1502	Karl Ferdinand Braun attended less than three universities.	E
26-8	T1502	Karl Ferdinand Braun attended no more than one university.	C
26-9	T1502	Karl Ferdinand Braun attended no more than two universities.	E
26-10	T1502	Karl Ferdinand Braun attended no more than three universities.	E
26-11	T1502	Karl Ferdinand Braun attended exactly one university.	C
26-12	T1502	Karl Ferdinand Braun attended exactly two universities.	E
26-13	T1502	Karl Ferdinand Braun attended exactly three universities.	C
26-14	T1502	Karl Ferdinand Braun attended one university.	E
26-15	T1502	Karl Ferdinand Braun attended two universities.	E
26-16	T1502	Karl Ferdinand Braun attended three universities.	C
26-17	T1502	Karl Ferdinand Braun attended at least one university.	E
26-18	T1502	Karl Ferdinand Braun attended at least two universities.	E
26-19	T1502	Karl Ferdinand Braun attended at least three universities.	C
26-23	T1502	Karl Ferdinand Braun attended no less than one university.	E
26-24	T1502	Karl Ferdinand Braun attended no less than two universities.	E
26-25	T1502	Karl Ferdinand Braun attended no less than three universities.	C
26-26	T1502	Karl Ferdinand Braun attended more than one university.	E
26-27	T1502	Karl Ferdinand Braun attended more than two universities.	C
26-28	T1502	Karl Ferdinand Braun attended more than three universities.	C
27-0	T1502	Karl Ferdinand Braun won less than two awards.	E
27-5	T1502	Karl Ferdinand Braun won no more than one award.	E
27-6	T1502	Karl Ferdinand Braun won no more than two awards.	E
27-7	T1502	Karl Ferdinand Braun won exactly one award.	E
27-8	T1502	Karl Ferdinand Braun won exactly two awards.	C
27-9	T1502	Karl Ferdinand Braun won one award.	E
27-10	T1502	Karl Ferdinand Braun won two awards.	C
27-11	T1502	Karl Ferdinand Braun won at least one award.	E
27-12	T1502	Karl Ferdinand Braun won at least two awards.	C
27-15	T1502	Karl Ferdinand Braun won no less than one award.	E
27-16	T1502	Karl Ferdinand Braun won no less than two awards.	C
27-17	T1502	Karl Ferdinand Braun won more than one award.	C
27-18	T1502	Karl Ferdinand Braun won more than two awards.	C
28-0	T1503	Jim Belushi has had less than two wives.	C
28-1	T1503	Jim Belushi has had less than three wives.	C
28-2	T1503	Jim Belushi has had less than four wives.	E
28-9	T1503	Jim Belushi has had no more than two wives.	C
28-10	T1503	Jim Belushi has had no more than three wives.	E
28-11	T1503	Jim Belushi has had no more than four wives.	E
28-12	T1503	Jim Belushi has had exactly two wives.	C
28-13	T1503	Jim Belushi has had exactly three wives.	E
28-14	T1503	Jim Belushi has had exactly four wives.	C
28-15	T1503	Jim Belushi has had two wives.	E
28-16	T1503	Jim Belushi has had three wives.	E
28-17	T1503	Jim Belushi has had four wives.	C
28-18	T1503	Jim Belushi has had at least two wives.	E
28-19	T1503	Jim Belushi has had at least three wives.	E
28-20	T1503	Jim Belushi has had at least four wives.	C
28-24	T1503	Jim Belushi has had no less than two wives.	E
28-25	T1503	Jim Belushi has had no less than three wives.	E
28-26	T1503	Jim Belushi has had no less than four wives.	C
28-27	T1503	Jim Belushi has had more than two wives.	E
28-28	T1503	Jim Belushi has had more than three wives.	C
28-29	T1503	Jim Belushi has had more than four wives.	C
29-0	T1544	Johnny Cash had less than two wives.	C
29-1	T1544	Johnny Cash had less than three wives.	E
29-8	T1544	Johnny Cash had no more than one wife.	C
